?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
1.90017,,,0.06057,,
0.8648,,,0.02387,,
3.92527,,,-0.25705,,
0.5505,,,-0.11931,,
0.4837,,,-0.21156,,
4.15499,,,0.95064,,
4.11059,,,1.26993,,
0.74906,,,1.46972,,
2.45746,,,1.03463,,
1.27625,,,1.65066,,
3.96659,,,1.44425,,
1.68834,,,0.97446,,
0.74903,,,0.96736,,
0.86009,,,1.52679,,
0.52453,,,0.42174,,
3.67464,,,0.10734,,
3.94603,,,0.09308,,
4.25123,,,0.3299,,
0.56965,,,0.4551,,
1.58099,,,0.42233,,
3.97837,,,0.10649,,
1.29934,,,0.62145,,
1.10423,,,0.93089,,
0.49514,,,0.69681,,
0.85724,,,1.32476,,
3.63961,,,1.32395,,
4.10898,,,3.48096,,
0.89315,,,0.41132,,
1.09151,,,0.09429,,
0.95641,,,0.61082,,
0.62572,,,1.10813,,
4.09755,,,0.59278,,
3.94461,,,0.59133,,
3.89878,,,1.14764,,
1.02668,,,0.7338,,
0.54289,,,0.74143,,
1.30615,,,1.09359,,
1.22069,,,1.08839,,
1.49159,,,1.39497,,
4.09274,,,0.78163,,
1.27382,,,0.25114,,
3.44922,,,0.76113,,
1.75458,,,0.23353,,
1.14941,,,0.83142,,
1.62581,,,0.5776,,
1.14174,,,0.70779,,
4.13803,,,3.375,,
0.61392,,,1.17044,,
0.55482,,,0.19676,,
1.97188,,,0.96434,,
1.27498,,,1.1906,,
1.48995,,,0.72834,,
1.49153,,,0.74696,,
4.20616,,,0.54042,,
2.29264,,,1.49211,,
3.82203,,,0.832,,
1.44099,,,1.64385,,
1.29939,,,1.23139,,
3.85313,,,1.04268,,
3.94237,,,0.74299,,
1.01714,,,1.55429,,
1.42691,,,0.13995,,
4.05536,,,0.35472,,
1.26538,,,1.39249,,
1.41146,,,1.04493,,
4.08803,,,1.23839,,
1.40652,,,1.1158,,
1.37675,,,1.10075,,
4.28539,,,1.15445,,
1.8649,,,1.10244,,
3.77673,,,1.00563,,
1.40701,,,0.94004,,
1.80843,,,1.22101,,
1.33369,,,1.07172,,
3.79301,,,1.05232,,
1.68523,,,1.17332,,
3.37667,,,1.0515,,
1.26999,,,1.2812,,
0.61727,,,0.94109,,
3.73786,,,3.41792,,
4.2001,,,3.50342,,
3.82311,,,2.1574,,
1.86688,,,3.63286,,
1.62025,,,3.67464,,
2.07519,,,3.44922,,
0.91173,,,3.37667,,
3.74209,,,2.19835,,
1.62813,,,2.21277,,
1.36472,,,3.79229,,
1.30056,,,1.57863,,
2.54367,,,3.69463,,
1.44438,,,3.68866,,
1.09039,,,1.79777,,
1.57747,,,1.57839,,
1.43453,,,3.69242,,
3.85356,,,3.06492,,
3.94909,,,3.5388,,
1.29972,,,3.54121,,
1.53072,,,3.5066,,
4.07185,,,3.50397,,
2.19835,,,1.82943,,
4.27653,,,3.70528,,
2.21277,,,3.49651,,
4.46225,,,3.70028,,
3.79229,,,3.61661,,
2.39451,,,,,
4.27616,,,,,
1.57863,,,,,
1.49456,,,,,
1.42085,,,,,
2.15441,,,,,
4.06918,,,,,
4.23952,,,,,
3.69463,,,,,
3.68866,,,,,
1.79777,,,,,
1.41624,,,,,
3.66892,,,,,
3.94794,,,,,
3.8606,,,,,
3.94664,,,,,
1.57839,,,,,
3.98289,,,,,
4.01212,,,,,
4.32374,,,,,
2.15757,,,,,
3.75742,,,,,
3.69242,,,,,
4.25981,,,,,
1.78135,,,,,
4.32234,,,,,
3.66896,,,,,
1.92133,,,,,
3.62941,,,,,
1.11434,,,,,
3.72356,,,,,
2.19497,,,,,
4.13772,,,,,
4.24046,,,,,
1.41409,,,,,
1.99024,,,,,
3.98267,,,,,
4.06873,,,,,
