?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.73932,0.55361,0.1787,,0.18994,
0.48585,0.35478,0.36936,,0.41474,
0.51983,0.33394,0.65664,,0.19531,
0.18057,0.08971,0.80074,,0.51096,
0.94523,0.2319,0.15875,,0.17043,
0.34366,0.12466,0.34515,,0.41781,
0.48243,0.44762,0.32718,,0.2782,
0.5165,-0.19382,0.33046,,0.20539,
0.81601,-0.22522,0.1068,,0.52291,
0.06988,-0.01153,0.41174,,0.71986,
0.34748,0.2646,0.38027,,0.26844,
0.72336,-0.00989,0.33278,,0.88446,
0.76279,0.03183,0.32679,,0.10096,
0.83294,0.06532,0.64486,,0.65212,
0.34325,-0.22601,0.44088,,0.76884,
0.75063,0.35245,0.32227,,0.13764,
1.29907,0.07253,0.09308,,0.43918,
0.56365,0.18181,0.3262,,0.46955,
0.96172,-0.0115,0.34681,,0.49126,
0.16302,0.1516,0.52044,,0.23756,
0.07413,0.4957,0.05839,,0.31675,
0.98725,0.11593,0.09791,,0.30462,
0.50234,0.17797,0.33036,,0.3019,
0.07209,0.16449,0.67934,,0.30904,
0.8184,0.479,0.33335,,0.36592,
0.50511,0.6939,0.72655,,0.56023,
0.54453,0.20071,0.71166,,0.82585,
0.83012,0.26152,0.45576,,0.33807,
0.18063,0.26661,0.31728,,0.32515,
0.06193,0.50794,0.42,,0.90038,
0.52123,0.17833,0.41158,,0.4659,
1.2257,0.09711,0.41288,,0.38828,
0.48362,0.26867,0.23893,,0.53124,
0.63301,0.19498,0.19992,,0.36531,
0.29057,0.19887,0.67132,,0.26364,
-0.01301,0.50222,0.1284,,0.38726,
0.96271,0.21897,0.48247,,0.19012,
1.33074,0.20136,0.05571,,0.24684,
0.49705,0.17933,0.12846,,0.24883,
0.77693,0.2773,0.05657,,0.38086,
0.30047,0.07818,0.14785,,0.41756,
0.03064,0.23951,0.06274,,0.21663,
0.81372,0.27425,0.11033,,0.33024,
0.19419,0.1324,0.3685,,0.11537,
0.19079,0.03918,0.1507,,0.2499,
0.96955,0.04549,0.67333,,0.24885,
0.81982,0.50901,0.60984,,0.52568,
0.6703,0.14584,1.08955,,0.53739,
0.88977,0.42086,1.16002,,0.53661,
0.82624,0.24263,0.51549,,0.53424,
0.12268,0.18626,0.19823,,0.52003,
0.83105,0.42556,0.19774,,0.51316,
1.01184,0.3284,0.22366,,0.51622,
1.06268,0.18609,0.57592,,0.40637,
1.17742,0.37276,0.21489,,0.42819,
0.17858,0.33233,0.11156,,0.43493,
0.51842,0.18529,-0.02172,,0.35269,
0.35009,0.15875,0.04409,,0.34717,
0.09844,0.12569,-0.01978,,0.40793,
0.72309,0.1068,0.09572,,0.41081,
0.19126,0.17176,0.07638,,0.35268,
0.285,-0.00155,0.37714,,0.44165,
0.87317,0.09308,0.60307,,0.40742,
0.6875,0.05839,0.9153,,0.64586,
0.34052,0.09791,0.12107,,0.54344,
0.13186,-0.01109,0.52693,,0.37263,
0.28044,0.35335,0.09013,,0.54553,
0.4107,0.28309,0.66034,,0.37356,
0.1087,0.51524,1.05346,,0.37699,
0.26437,0.29387,0.63373,,0.57388,
0.24745,0.25521,0.82867,,0.37851,
0.041,0.04094,1.04186,,0.47038,
0.47602,0.32842,0.67115,,0.48847,
0.39856,-0.0123,0.68052,,0.66553,
0.12735,-0.19532,0.3648,,0.48911,
0.02751,-0.19627,0.24347,,0.52228,
0.12396,0.3778,0.30918,,0.51118,
0.95947,0.11145,0.55956,,0.51663,
-0.00626,0.33273,0.2841,,0.55251,
0.06499,0.23116,0.2565,,0.5271,
0.42389,0.15944,0.33939,,0.55573,
0.43858,0.33335,0.65834,,0.53836,
0.49804,0.16475,0.28977,,0.53059,
0.6927,0.31508,0.06565,,0.51983,
0.33034,0.18107,0.82554,,0.56365,
0.23404,0.13493,0.05899,,0.50234,
0.96274,0.3557,0.71035,,0.52123,
-0.09842,0.19992,0.75063,,0.47602,
0.20012,0.28349,0.06193,,0.53466,
0.28745,0.1284,0.96271,,0.41672,
0.12253,0.05571,0.88977,,0.53955,
0.3689,0.12846,0.09844,,0.41433,
0.75385,0.16764,0.72309,,0.63959,
